unique_id,wind,oncolite,disturbance,substrate_size_d50,substrate,distance_fram_shore,temperature,conductivity,ph,macrophyte
onon_1_1,end,ol,low,0.346410162,sand,43.8,21.88,1660,7.31,1
onon_1_2,end,ol,low,0.346410162,sand,43.8,21.88,1660,7.31,1
onon_2_1,east,om,low,37.617533,coarsegravel,2.8,18.48,1593,7.1,1
onon_2_2,east,om,low,37.617533,coarsegravel,2.8,18.48,1593,7.1,1
onon_3_1,east,om,low,23.55790816,coarsegravel,3.4,19.26,1582,7.28,1
onon_3_2,east,om,low,23.55790816,coarsegravel,3.4,19.26,1582,7.28,1
onon_4_1,east,oh,low,112.7435749,cobble,2.6,20.07,1681,7.3,1
onon_4_2,east,oh,low,112.7435749,cobble,2.6,20.07,1681,7.3,1
onon_5_1,east,oh,low,40.03186497,coarsegravel,6.7,22.48,1683,7.3,2
onon_5_2,east,oh,low,40.03186497,coarsegravel,6.7,22.48,1683,7.3,2
onon_6_1,east,oh,low,53.47307514,coarsegravel,7,20.41,1680,7.21,2
onon_6_2,east,oh,low,53.47307514,coarsegravel,7,20.41,1680,7.21,2
onon_7_1,east,oh,low,31.54122236,coarsegravel,6.2,19.03,1675,7.37,2
onon_7_2,east,oh,low,31.54122236,coarsegravel,6.2,19.03,1675,7.37,2
onon_8_1,end,fsh,high,60.33376118,coarsegravel,6.3,19.97,1841,7.41,3
onon_8_2,end,fsh,high,60.33376118,coarsegravel,6.3,19.97,1841,7.41,3
onon_9_1,west,fsh,high,0.346410162,sand,14,19.23,1791,7.05,1
onon_9_2,west,fsh,high,0.346410162,sand,14,19.23,1791,7.05,1
onon_10_1,west,om,high,40.86917389,coarsegravel,5.2,20.64,1620,7.36,1
onon_10_2,west,om,high,40.86917389,coarsegravel,5.2,20.64,1620,7.36,1
onon_11_1,west,om,high,41.39626129,coarsegravel,3,21.1,1619,7.34,2
onon_11_2,west,om,high,41.39626129,coarsegravel,3,21.1,1619,7.34,2
onon_12_1,west,om,high,0.346410162,sand,11.2,NA,NA,NA,0
onon_12_2,west,om,high,0.346410162,sand,11.2,NA,NA,NA,0
onon_13_1,west,om,high,0.346410162,sand,9.8,NA,NA,NA,0
onon_13_2,west,om,high,0.346410162,sand,9.8,NA,NA,NA,0
onon_14_1,west,om,high,0.346410162,sand,5.7,18.17,1517,7.19,1
onon_14_2,west,om,high,0.346410162,sand,5.7,18.17,1517,7.19,1
onon_15_1,west,ol,low,26.90868529,coarsegravel,4.4,NA,NA,NA,2
onon_15_2,west,ol,low,26.90868529,coarsegravel,4.4,NA,NA,NA,2
onon_16_1,west,ol,low,0.346410162,sand,2.4,NA,NA,NA,1
onon_16_2,west,ol,low,0.346410162,sand,2.4,NA,NA,NA,1
